name,points,clears
RojMonGG,7.8,2
BBakBBak_e,6.1,1
maxxkao,10.299999999999999,3
Ipreferbag,8.1,3
"""Lantis""",24.5,7
gnuckols,98.4,36
manalo,21.2,5
Drew bc,44.900000000000006,14
HappyKirbο,8.6,2
CapnFatJak,13.6,4
Maxiboss88,63.000000000000014,22
onebigeye,11.1,3
Wasabiわさび★,6.1,1
My$tery,15.399999999999999,3
むず,16.299999999999997,3
ŞĶÝ_2283,56.29999999999998,15
lLucer,135.99999999999997,41
Versus2567,157.3999999999999,51
PrettyTony,12.1,4
kerbeross,11.2,2
Metballs,36.5,11
ìnśűlin_2/,14.5,3
シュガーアウト YT,13.600000000000001,3
ZetaSSJ,17.8,4
hcreeperjt,11.899999999999999,3
UCanDoEet,6.1,1
ままみやぁ,12.7,3
にゃにゃ！！,6.1,1
Defman144,95.9,31
Fusiongt,6.1,1
MVXgameS,6.1,1
FƒS,36.99999999999999,9
Bald_Ridge,6.1,1
FatalityMM,6.1,1
hrhgln,8.6,2
Bolvar,6.1,1
Raptor73 ツ,6.1,1
JZLgaming,12.2,2
おさかなぽんちゃん,9.399999999999999,2
おせろ+-shati,32.199999999999996,10
いじゅういんしげお,8.6,2
skinny_p,11.899999999999999,3
ed tiff,6.1,1
Genshin.M,6.1,1
andrew078,6.1,1
Kurofish,6.1,1
Hoboof,10.3,2
LeAngelo,6.1,1
MM2 #1 Fan,6.1,1
Scherbie,36.2,11
Keenzz,119.9,40
Vanshi,29.7,7
ミミズ1000びきφ,10.3,2
FunkGamer,6.1,1
Trugg,14.399999999999999,4
FlyinMonke,133.19999999999996,47
GloriousGG,69.60000000000001,27
Lord Wo,20.499999999999996,4
Nyоо,20.499999999999996,4
soft platf,21.499999999999996,5
Clarkness',11.2,2
Hunggaming,18.799999999999997,4
ωill,6.1,1
Ditto007,15.399999999999999,3
Gideon_,15.399999999999999,3
dirtyhand,6.1,1
G-Muffin,11.2,2
Quiet_Life,18.7,4
ClauCrazy,24.799999999999997,11
mars1834,22.099999999999998,6
PokeyNinja,20.499999999999996,4
Street_rat,11.2,2
Rednaii,19.5,5
fishyz_23,11.2,2
Mang0man07,24.699999999999996,5
BKetch13,20.499999999999996,4
HappyFoxxo,6.1,1
Luna Pop!,20.499999999999996,4
Zoren364,20.499999999999996,4
Bearly,21.4,4
ttbs098,16.299999999999997,3
Ryanarwhal,20.499999999999996,4
Miαmidropz,16.9,5
ObiWan0414,11.899999999999999,3
luis87,11.899999999999999,3
Ryleу,7.6,2
Luckycome,13.7,4
ショウ---!#$,5.1,1
Emmanul,45.30000000000001,20
TheTotal,44.500000000000014,18
Torradinha,14.399999999999999,4
DarthPug,96.60000000000002,38
RainbowJay,40.30000000000001,14
enachilada,5.1,1
<WAR>,8.399999999999999,2
KingJ0804,71.30000000000001,26
Mankarla,19.3,5
TroeR,12.7,3
ThaBluerTm,5.1,1
-rm rf */,39.5,11
Fox_Maker,108.20000000000002,39
AriesTaurs,70.40000000000002,27
Zenfoh,29.200000000000003,8
Thijs07,5.1,1
Cottis,7.6,2
Wicca'sBar,5.1,1
Freddh_89™,5.1,1
NelesioSMM,26.8,9
Grimbold,18.5,5
MikeTmikee,10.2,2
subterra97,44.800000000000004,23
jordy uyt,221.69999999999982,79
DrySMM,8.6,3
woodywood,15.399999999999999,6
Cookiesars,18.4,6
cliff spab,32.7,10
OkaRin,21.0,8
Mando Bros,7.6,2
Doc Ach,11.099999999999998,4
Morela,41.30000000000001,16
LээRэ†rø™☆,65.30000000000001,23
**PÄTTO**,5.1,1
RockoGG,24.2,8
Wachilengo,12.7,3
[Mario 2D],5.1,1
mr.brusin',13.499999999999998,5
Wavid,60.60000000000002,24
bilago,49.500000000000014,19
SkyPark,9.299999999999999,3
⊂⊂⊂(^ω^)⊃⊃,19.4,7
Crumpnpump,75.5,24
KapiSMM2,5.1,1
たかp4649,55.20000000000002,21
ボットたくはい,13.399999999999999,4
EnriqueOA,13.399999999999999,4
pranaferox,32.89999999999999,14
Criquette,16.5,8
Alchy,11.899999999999999,4
ラムネ/ramune,31.9,10
DTSpies,5.1,1
ワフネノホヘヘツテ,5.1,1
Flex7214,5.1,1
JewMstr87,222.2999999999999,75
Tuta29²,72.6,26
oscarTJ,5.1,1
Sr. Mike17,171.89999999999986,59
Digital,50.600000000000016,21
chzeground,87.2,31
KnusperBKN,27.9,11
bundmaker,129.3,45
Dimitri_,123.50000000000003,41
GigantTRex,90.7,32
(:3rz)~,32.0,8
Glentastik,13.5,4
L²,9.3,2
Vurtrony,43.70000000000002,17
Katz,23.400000000000002,7
doggo_67,11.799999999999999,4
adi-kt0:,16.799999999999997,9
guibaldo,24.4,9
Kikin MTRX,10.1,3
Firzen,7.6,2
Bidoof √∞,5.1,1
ちゃあ,5.1,1
Ricо,5.1,1
9576,7.6,2
ExpMilk,7.6,2
CHN★SàDūnr,5.1,1
TTangGamba,22.799999999999997,6
legalx,5.1,1
Daisuke‚,12.6,4
Mers UwU,46.90000000000002,22
Hayden9097,5.1,1
Doppel☆SMM,12.2,4
Seage,10.2,2
RealBenito,5.1,1
Austropep,10.1,3
wanzilin,13.5,3
°[MATT]°,15.399999999999999,4
kratosmx,33.6,13
ざらしぃ,5.1,1
Prizmatic,21.799999999999997,8
iBaX,7.6,2
Andres_155,19.5,8
mat2con,5.1,1
Sgt. Buzzy,11.799999999999999,4
iiSnake7,6.8,2
The Electa,12.6,4
:|Manuel|:,7.6,2
Threat90,5.1,1
Shakinstev,65.50000000000003,26
★b,19.3,5
おきざり　たろう,7.6,2
Bsgrinder,30.4,11
Ashes0fury,11.8,3
j_weaston,8.5,3
Tomahawk42,29.299999999999997,11
ericwj,5.1,1
リッツン257,5.1,1
SaudS,20.9,7
Νight,7.6,2
Sharky³²,5.1,1
1ne 2wo,54.40000000000002,20
Dani64¡!,16.199999999999996,7
Hatch,17.599999999999998,6
YTSMO_Bois,5.1,1
YRH YYY,43.70000000000002,18
Z(G)en1,24.5,6
Lalito9316,11.799999999999999,4
Jjmawaken,22.599999999999994,12
mo3ath0h,9.3,2
moripoet,22.599999999999998,8
TDACHA,5.1,1
razydie,20.099999999999998,7
JC-1412,15.299999999999997,6
Ådreñø,8.399999999999999,2
